id,B_ID,First Name_B,Last Name_B,Full_Name_B,B_Weight,B_Age,Weight_B,Height_B,Reach_B,Stance_B,R_ID,First Name_R,Last Name_R,Full_Name_R,R_Age,R_Height,R_Weight,Height_R,Weight_R,Reach_R,R_Wrestling,R_BJJ,R_Boxing,R_Kickboxing,R_MuayTai,R_Freestyle,R_Sambo,R_Karate,R_Judo,Stance_R,winby,winner,Record_B,Wins_B,Losses_B,Draws_B,Record_R,Wins_R,Losses_R,Draws_R,BPrev,BStreak,B_Location,Event_ID,B_Wrestling,B_BJJ,B_Boxing,B_Kickboxing,B_MuayTai,B_Freestyle,B_Sambo,B_Karate,B_Judo,Full_Name__B,SLpM__B,StrAcc__B,SApM__B,StrDef__B,TDAvg__B,TDAcc__B,TDDef__B,SubAvg__B,Full_Name__R,SLpM__R,StrAcc__R,SApM__R,StrDef__R,TDAvg__R,TDAcc__R,TDDef__R,SubAvg__R
32,2101,Alan,Patrick,Alan Patrick,70,35,155,71,74,Southpaw,2558,Scott,Holtzman,Scott Holtzman,35,175,70,69,155,69,0,0,0,0,0,1,0,0,0,Orthodox,KO/TKO,red,14-1-0,14,1,0,9/2/00,9,2,0,5,3,Rio de Janeiro Brazil,887,0,1,0,0,0,0,0,0,0,Alan Patrick,1.9,0.4,1.95,0.53,3.52,0.37,0.75,0.5,Scott Holtzman,3.94,0.46,3.16,0.59,2.34,0.6,0.6,0.5
33,2771,Darrell,Horcher,Darrell Horcher,70,31,160,70,70,Southpaw,2558,Scott,Holtzman,Scott Holtzman,35,175,70,69,155,69,0,0,0,0,0,1,0,0,0,Orthodox,DEC,red,12/2/00,12,2,0,9/2/00,9,2,0,2,1,"Shermansdale, Pennsylvania  United States",852,1,0,0,0,0,0,0,0,0,Darrell Horcher,0.7,0.22,8.69,0.28,0,0,0.33,0,Scott Holtzman,3.94,0.46,3.16,0.59,2.34,0.6,0.6,0.5
34,2429,Cody,Pfister,Cody Pfister,70,28,155,70,73,Orthodox,2558,Scott,Holtzman,Scott Holtzman,35,175,70,69,155,69,0,0,0,0,0,1,0,0,0,Orthodox,DEC,red,12/6/01,12,6,1,9/2/00,9,2,0,3,0,"Boulder, Colorado USA",781,0,0,0,0,0,1,0,0,0,Cody Pfister,1.41,0.25,2.8,0.51,2.82,0.3,0,0,Scott Holtzman,3.94,0.46,3.16,0.59,2.34,0.6,0.6,0.5
35,2820,Michael,McBride,Michael McBride,70,32,155,73,75,Orthodox,2558,Scott,Holtzman,Scott Holtzman,35,175,70,69,155,69,0,0,0,0,0,1,0,0,0,Orthodox,DEC,red,8/2/00,8,2,0,9/2/00,9,2,0,1,0,"Webster City, Iowa United States",815,0,0,0,0,0,1,0,0,0,Michael McBride,1.72,0.51,4.09,0.24,0,0,0.16,0,Scott Holtzman,3.94,0.46,3.16,0.59,2.34,0.6,0.6,0.5
36,1340,Drew,Dober,Drew Dober,70,29,155,68,70,Southpaw,407,Joshua,Burkman,Joshua Burkman,38,177,77,70,155,72,1,0,0,0,0,0,0,0,0,Orthodox,KO/TKO,blue,17-8-0,17,8,0,29-15-0,29,15,0,7,0,"Denver, Colorado United States",823,0,0,0,0,1,0,0,0,0,Drew Dober,3.33,0.33,3.99,0.55,1.15,0.16,0.66,0.2,Joshua Burkman,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3
37,2316,Paul,Felder,Paul Felder,70,34,155,71,70,Orthodox,407,Joshua,Burkman,Joshua Burkman,38,177,77,70,155,72,1,0,0,0,0,0,0,0,0,Orthodox,DEC,blue,13-3-0,13,3,0,29-15-0,29,15,0,5,1,"Philadelphia, Pennsylvania United States",777,0,0,0,0,0,0,0,1,0,Paul Felder,3.4,0.4,3.06,0.52,0.46,0.37,0.62,0.5,Joshua Burkman,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3
38,2826,Zak,Ottow,Zak Ottow,77,31,170,71,73,Orthodox,407,Joshua,Burkman,Joshua Burkman,38,177,77,70,155,72,1,0,0,0,0,0,0,0,0,Orthodox,DEC,blue,14-4-0,14,4,0,29-15-0,29,15,0,0,0,"Milwaukee, Wisconsin United States",790,0,1,0,0,0,0,0,0,0,Zak Ottow,3.63,0.37,2.73,0.62,0,0,0.71,0.5,Joshua Burkman,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3
39,2737,Alex,Morono,Alex Morono,77,28,170,71,72,Orthodox,407,Joshua,Burkman,Joshua Burkman,38,177,77,70,155,72,1,0,0,0,0,0,0,0,0,Orthodox,SUB,blue,13-3-0,13,3,0,29-15-0,29,15,0,4,0,"Houston, Texas United States",859,0,1,0,1,0,0,0,0,0,Alex Morono,4.98,0.45,3.2,0.63,0,0,0.75,0.4,Joshua Burkman,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3
40,1493,KJ,Noons,KJ Noons,70,35,155,70,72,Orthodox,407,Joshua,Burkman,Joshua Burkman,38,177,77,70,155,72,1,0,0,0,0,0,0,0,0,Orthodox,DEC,red,12/8/00,12,8,0,29-15-0,29,15,0,3,0,"San Diego, California USA",764,0,0,1,0,1,0,0,0,0,KJ Noons,3.68,0.35,3.78,0.65,0.08,0.2,0.68,0,Joshua Burkman,2.69,0.43,3.1,0.51,2.6,0.37,0.72,0.3
41,1340,Drew,Dober,Drew Dober,70,29,155,68,70,Southpaw,2073,Leandro,Silva,Leandro Silva,32,175,70,69,155,72,0,1,0,0,1,0,0,0,0,Orthodox,SUB,no contest,17-8-0,17,8,0,19-4-1,19,4,1,2,1,"Denver, Colorado United States",713,0,0,0,0,1,0,0,0,0,Drew Dober,3.33,0.33,3.99,0.55,1.15,0.16,0.66,0.2,Leandro Silva,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4
