eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time,f1fights,f1w,f1l,f1fws,f1ls,f2fights,f2w,f2l,f2fws,f2ls,f1SubW,f1KOW,f1DecW,f1SubL,f1KOL,f1DecL,f2SubW,f2KOW,f2DecW,f2SubL,f2KOL,f2DecL
13,6,UFC 7 - The Brawl in Buffalo,9/8/95,Ryan Parker,Remco Pardoel,loss,win,119,33,Submission,1,3:05,0,0,0,0,0,4,2,2,0,1,0,0,0,0,0,0,1,1,0,2,0,0
13,5,UFC 7 - The Brawl in Buffalo,9/8/95,Mark Hall,Harold Howard,win,loss,118,41,Submission,1,1:41,1,0,1,0,1,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0
13,4,UFC 7 - The Brawl in Buffalo,9/8/95,Gerry Harris,Paul Varelans,loss,win,83,112,Submission,1,1:07,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,2,0
13,3,UFC 7 - The Brawl in Buffalo,9/8/95,Scott Bessac,David Hood,win,loss,121,1720,Submission,1,0:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,UFC 7 - The Brawl in Buffalo,9/8/95,Onassis Parungao,Francesco Maturi,win,loss,116,117,Submission,1,5:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,UFC 7 - The Brawl in Buffalo,9/8/95,Joel Sutton,Geza Kalman,win,loss,107,115,TKO,1,0:48,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,9,UFC 8 - David vs. Goliath,2/16/96,Don Frye,Gary Goodridge,win,loss,124,129,Submission,1,2:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,UFC 8 - David vs. Goliath,2/16/96,Kimo Leopoldo,Ken Shamrock,loss,win,43,4,Submission,1,4:24,1,0,1,0,1,7,4,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0
15,7,UFC 8 - David vs. Goliath,2/16/96,Gary Goodridge,Jerry Bohlander,win,loss,129,127,TKO,1,5:31,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,6,UFC 8 - David vs. Goliath,2/16/96,Sam Adkins,Don Frye,loss,win,122,124,TKO,1,0:48,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,5,UFC 8 - David vs. Goliath,2/16/96,Gary Goodridge,Paul Herrera,win,loss,129,130,KO,1,0:13,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15,4,UFC 8 - David vs. Goliath,2/16/96,Jerry Bohlander,Scott Ferrozzo,win,loss,127,128,Submission,1,9:03,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,3,UFC 8 - David vs. Goliath,2/16/96,Paul Varelans,Joe Moreira,win,loss,112,126,Decision,1,10:00,5,3,2,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0
15,2,UFC 8 - David vs. Goliath,2/16/96,Don Frye,Thomas Ramirez,win,loss,124,125,KO,1,0:08,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,1,UFC 8 - David vs. Goliath,2/16/96,Keith Mielke,Sam Adkins,loss,win,123,122,Submission,1,0:50,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,7,UFC 9 - Motor City Madness,5/17/96,Ken Shamrock,Dan Severn,loss,win,4,52,Decision,1,30:00:00,8,5,1,1,0,7,5,2,0,1,5,0,0,1,0,0,4,1,0,2,0,0
16,6,UFC 9 - Motor City Madness,5/17/96,Amaury Bitetti,Don Frye,loss,win,135,124,TKO,1,9:22,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0
16,5,UFC 9 - Motor City Madness,5/17/96,Mark Hall,Koji Kitao,win,loss,118,134,TKO,1,0:40,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
16,4,UFC 9 - Motor City Madness,5/17/96,Gary Goodridge,Mark Schultz,loss,win,129,133,TKO,1,12:00,3,2,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
16,3,UFC 9 - Motor City Madness,5/17/96,Matt Andersen,Rafael Carino,loss,win,132,131,TKO,1,5:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,UFC 9 - Motor City Madness,5/17/96,Zane Frazier,Cal Worsham,loss,win,18,113,TKO,1,3:14,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
16,1,UFC 9 - Motor City Madness,5/17/96,Tai Bowden,Steve Nelmark,loss,win,6950,147,TKO,1,7:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,UFC 10 - The Tournament,7/12/96,Don Frye,Mark Coleman,loss,win,124,136,TKO,1,11:34,4,4,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
17,8,UFC 10 - The Tournament,7/12/96,Mark Coleman,Gary Goodridge,win,loss,136,129,Submission,1,7:00,1,1,0,1,0,4,2,2,0,1,0,1,0,0,0,0,0,2,0,1,1,0
17,7,UFC 10 - The Tournament,7/12/96,Don Frye,Brian Johnston,win,loss,124,137,Submission,1,4:37,5,4,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
17,6,UFC 10 - The Tournament,7/12/96,Gary Goodridge,John Campetella,win,loss,129,140,KO,1,1:28,5,2,3,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0
17,5,UFC 10 - The Tournament,7/12/96,Mark Coleman,Moti Horenstein,win,loss,136,139,Submission,1,2:43,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
