eid,mid,event_name,event_date,f1name,f2name,f1result,f2result,f1fid,f2fid,method,round,time
19,2,UFC - Ultimate Ultimate 1996,12/7/96,Steve Nelmark,Marcus Bossett,win,loss,147,54,Submission,1,1:37
19,1,UFC - Ultimate Ultimate 1996,12/7/96,Mark Hall,Felix Mitchell,win,loss,118,45,TKO,1,1:45
19,10,UFC - Ultimate Ultimate 1996,12/7/96,Don Frye,David Abbott,win,loss,124,110,Submission,1,1:22
19,9,UFC - Ultimate Ultimate 1996,12/7/96,David Abbott,Steve Nelmark,win,loss,110,147,KO,1,1:03
19,8,UFC - Ultimate Ultimate 1996,12/7/96,Don Frye,Mark Hall,win,loss,124,118,Submission,1,0:20
20,9,UFC 12 - Judgement Day,2/7/97,Mark Coleman,Dan Severn,win,loss,136,52,Submission,1,2:57
20,8,UFC 12 - Judgement Day,2/7/97,Vitor Belfort,Scott Ferrozzo,win,loss,156,128,TKO,1,0:43
20,7,UFC 12 - Judgement Day,2/7/97,Jerry Bohlander,Nick Sanzo,win,loss,127,148,Submission,1,0:39
20,6,UFC 12 - Judgement Day,2/7/97,Vitor Belfort,Tra Telligman,win,loss,156,157,TKO,1,1:17
20,5,UFC 12 - Judgement Day,2/7/97,Scott Ferrozzo,Jim Mullen,win,loss,128,155,TKO,1,8:02
20,4,UFC 12 - Judgement Day,2/7/97,Kazuo Takahashi,Wallid Ismail,win,loss,153,154,Decision,1,15:00
20,3,UFC 12 - Judgement Day,2/7/97,Jerry Bohlander,Rainy Martinez,win,loss,127,152,Submission,1,1:18
20,2,UFC 12 - Judgement Day,2/7/97,Justin Martin,Eric Martin,win,loss,150,151,Submission,1,0:14
20,1,UFC 12 - Judgement Day,2/7/97,Nick Sanzo,Jackie Lee,win,loss,148,149,TKO,1,0:48
21,9,UFC 13 - The Ultimate Force,5/30/97,Vitor Belfort,David Abbott,win,loss,156,110,TKO,1,0:52
21,8,UFC 13 - The Ultimate Force,5/30/97,Randy Couture,Steven Graham,win,loss,166,164,TKO,1,3:13
21,7,UFC 13 - The Ultimate Force,5/30/97,Guy Mezger,Tito Ortiz,win,loss,14,158,Submission,1,3:00
21,6,UFC 13 - The Ultimate Force,5/30/97,Randy Couture,Tony Halme,win,loss,166,167,Submission,1,0:56
21,5,UFC 13 - The Ultimate Force,5/30/97,Steven Graham,Dmitri Stepanov,win,loss,164,165,Submission,1,1:30
21,4,UFC 13 - The Ultimate Force,5/30/97,Enson Inoue,Royce Alger,win,loss,12,163,Submission,1,1:36
21,3,UFC 13 - The Ultimate Force,5/30/97,Guy Mezger,Christophe Leninger,win,loss,14,40,Decision,1,15:00
21,2,UFC 13 - The Ultimate Force,5/30/97,Jack Nilson,Saeed Hosseini,win,loss,161,160,TKO,1,1:23
21,1,UFC 13 - The Ultimate Force,5/30/97,Tito Ortiz,Wes Albritton,win,loss,158,159,TKO,1,0:31
22,9,UFC 14 - Showdown,7/27/97,Maurice Smith,Mark Coleman,win,loss,175,136,Decision,1,21:00
22,8,UFC 14 - Showdown,7/27/97,Mark Kerr,Dan Bobish,win,loss,71,174,Submission,1,1:38
22,7,UFC 14 - Showdown,7/27/97,Kevin Jackson,Tony Fryklund,win,loss,172,168,Submission,1,0:44
22,6,UFC 14 - Showdown,7/27/97,Dan Bobish,Brian Johnston,win,loss,174,137,TKO,1,2:10
